tipo;nome;lat;lon;n_radio;dispositivi
BTS;90° Opessina;44.788171;8.2850317;3;"Main3 ; PTMP 90° Opessina ; PTMP | 90° Agliano Terme"
BTS;Alice Bel Colle;44.7264419;8.4537436;5;"PTMP | Acqui Terme - Lussito ; PTMP | Castelnuovo Bormida - Rivalta Bormida ; PTMP | Ricaldone - Quaranti - Mombaruzzo ; PTP | Alice Bel Colle --> Montabone ; Station3"
BTS;Caffi;44.6882799;8.2875126;6;"AP1 ; AP4 ; AP9 ; PTP - Caffi Canelli ; PTP | Caffi --> S. Michele ; Station7"
BTS;Caffi UP;44.6869916;8.2883365;5;"Master1 ; Master2 ; Master4 ; PTP | Caffi UP--> Rabellino ; Station5"
BTS;Canelli Caffi;44.7180422;8.295978;2;"Master3 ; PTP Canelli Caffi"
BTS;Castel Boglione;44.6456297;8.3782246;3;"Master7 ; PTP | Castel Boglione --> S.M.O ; Station10"
BTS;Denice;44.5992702;8.3338515;5;"AP15 ; AP16 ; DENI002 ; Main1 ; PTP | Denice --> Ponti"
BTS;Montabone;44.6984525;8.3953976;2;"PTP | Montabone --> Alice Bel Colle ; PTP | Montabone --> Roncogennaro"
BTS;Ponti;44.6387801;8.3698024;2;"PTMP | Ponti ; PTP | Ponti --> Denice"
BTS;Rabellino;44.6274448;8.294322;2;"AP2 ; PTP | Rabellino --> CaffiUP"
BTS;Roncogennaro;44.6805469;8.3637509;5;"AP11 ; Master10 ; PTP | Roncogennaro --> Montabone ; Station11 ; Station9"
BTS;S. Michele;44.7585332;8.3842819;1;PTP | S. Michele --> Caffi
BTS;S.M.O;44.6902496;8.4324634;2;"PTMP | Castel Boglione --> Acqui ; PTP | S.M.O --> Castel Boglione"
BTS;ZABALDANO;44.6295999;8.2651265;4;"PTP - ZABALDANO --> CAFFI_COLLINA ; ZAB001 --> Bubbio ; ZAB002 --> Cessole Loazzolo ; ZAB003 --> VESIME"
BTS;;44.6419223;8.3192562;5;"AP3 ; AP6 ; AP8 ; Master9 ; Station2"
BTS;;44.7358932;8.3112585;3;"AP10 ; AP5 ; Station1"
BTS;;44.6892875;8.30302;2;"AP12 ; Station4"
BTS;;44.7503766;8.3016869;3;"AP13 ; Master5 ; Station8"
BTS;;44.6892342;8.4780068;3;"AP14 ; Master8 ; Station7"
BTS;;44.703553;8.4736199;2;"AP7 ; Station6"
BTS;;44.7293897;8.4233178;2;"AP17 ; Main2"
BTS;;44.9193767;8.2337148;1;Main4
BTS;;44.8091007;8.1666877;8;"Main10 ; Main11 ; Main5 ; Main6 ; Main7 ; Main8 ; Main9 ; Station12"
BTS;;44.7960719;8.1887529;2;"Main12 ; Station13"
BTS;;44.7995306;8.1943648;4;"Main13 ; Main14 ; Main15 ; Station17"
BTS;;44.9177655;8.1396128;2;"AP18 ; Station21"
BTS;;44.7890114;8.1998581;4;"Main16 ; Main17 ; Main18 ; Station22"
BTS;;44.7412765;8.2721168;2;"AP20 ; Station24"
BTS;;44.7151882;8.2223871;1;AP19
BTS;;44.7350875;8.2885445;3;"AP21 ; Station8 ; Station9"
CPE/Station;;44.8319873;8.1118647;1;Station14
CPE/Station;;44.8183236;8.109075;1;Station15
CPE/Station;;44.7870369;8.154921;1;Station16
CPE/Station;;44.8097675;8.1798515;1;Station18
CPE/Station;;44.8279104;8.1770668;1;Station19
CPE/Station;;44.7767379;8.1791211;1;Station20
CPE/Station;;44.8389174;8.2585489;1;Station23
CPE/Station;;44.9192875;8.1559518;1;Station1
CPE/Station;;44.9162412;8.1559509;1;Station2
CPE/Station;;44.7322996;8.2021048;1;Station25
CPE/Station;;44.7620994;8.2101801;1;Station26
CPE/Station;;44.7151881;8.2264718;2;"Station3 ; Station4"
CPE/Station;;44.7441916;8.306573;1;Station5
CPE/Station;;44.7380802;8.3065695;1;Station6
